CSV,XLS,categoria
15.c Furti in danno di uffici pubblici,c. Furti in danno di uffici pubblici,FURTI
15.d Furti in abitazione,d. Furti in abitazione,FURTI
15.e Furti in esercizi commerciali,e. Furti in esercizi commerciali,FURTI
15.f Furti su auto in sosta,f. Furti su auto in sosta,FURTI
15.g Furti di opere d'arte e materiale archeologico,g. Furti di opere d'arte e materiale archeologico,FURTI
15.h Furti di automezzi pesanti trasportanti merci,h. Furti di automezzi pesanti trasportanti merci,FURTI
15.i Furti di ciclomotori,i. Furti di ciclomotori,FURTI
15.j Furti di motociclo,j. Furti di motociclo,FURTI
15.k Furti di autovetture,k. Furti di autovetture,FURTI
16.0 RICETTAZIONE,16. RICETTAZIONE,RICETTAZIONE
17.0 RAPINE,17. RAPINE,RAPINE
17.a Rapine in abitazione,a. Rapine in abitazione,RAPINE
17.b Rapine in banca,b. Rapine in banca,RAPINE
17.c Rapine in uffici postali,c. Rapine in uffici postali,RAPINE
17.d Rapine in esercizi commerciali,d. Rapine in esercizi commerciali,RAPINE
17.e Rapine a rappresentati di preziosi,e. Rapine a rappresentati di preziosi,RAPINE
17.f Rapine a trasportatori di valori bancari,f. Rapine a trasportatori di valori bancari,RAPINE
17.g Rapine a trasportatori di valori postali,g. Rapine a trasportatori di valori postali,RAPINE
17.h Rapine in pubblica via,h. Rapine in pubblica via,RAPINE
17.i Rapine di automezzi pesanti trasportanti merci,i. Rapine di automezzi pesanti trasportanti merci,RAPINE
18.0 ESTORSIONI,18. ESTORSIONI,ESTORSIONI
19.0 USURA,19. USURA,USURA
20.0 SEQUESTRI DI PERSONA,20. SEQUESTRI DI PERSONA,SEQUESTRI DI PERSONA
20.a Sequestri di persona a scopo estorsivo,a. Sequestri di persona a scopo estorsivo,SEQUESTRI DI PERSONA
20.b Sequestri di persona per motivi sessuali,b. Sequestri di persona per motivi sessuali,SEQUESTRI DI PERSONA
21.0 ASSOCIAZIONE PER DELINQUERE,21. ASSOCIAZIONE PER DELINQUERE,ASSOCIAZIONE PER DELINQUERE
22.0 ASSOCIAZIONE DI TIPO MAFIOSO,22. ASSOCIAZIONE DI TIPO MAFIOSO,ASSOCIAZIONE DI TIPO MAFIOSO
23.0 RICICLAGGIO E IMPIEGO DI DENARO,23. RICICLAGGIO E IMPIEGO DI DENARO,RICICLAGGIO E IMPIEGO DI DENARO
24.0 TRUFFE E FRODI INFORMATICHE,24. TRUFFE E FRODI INFORMATICHE,TRUFFE E FRODI INFORMATICHE
25.0 INCENDI,25. INCENDI,INCENDI
25.a Incendi boschivi,a. Incendi boschivi,INCENDI
26.0 DANNEGGIAMENTI,26. DANNEGGIAMENTI,DANNEGGIAMENTI
27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO,27. DANNEGGIAMENTO SEGUITO DA INCENDIO,DANNEGGIAMENTO SEGUITO DA INCENDIO
28.0 CONTRABBANDO,28. CONTRABBANDO,CONTRABBANDO
29.0 STUPEFACENTI,29. STUPEFACENTI,STUPEFACENTI
29.a Produzione e traffico,a. Produzione e traffico,STUPEFACENTI
29.b Spaccio,b. Spaccio,STUPEFACENTI
29.c Associazione per produzione o traffico di stupefacenti,c. Associazione per produzione o traffico di stupefacenti,STUPEFACENTI
29.d Associazione per spaccio di stupefacenti,d. Associazione per spaccio di stupefacenti,STUPEFACENTI
30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE,30. SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE,SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE
30.a Sfruttamento e favoreggiamento prostituzione minorile,a. Sfruttamento e favoreggiamento prostituzione minorile,SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE
30.b Pornografia minorile,b. Pornografia minorile,SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE
30.c Detenzione materiale pedopornografico,c. Detenzione materiale pedopornografico,SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE
30.d Sfrutt. e favoreggiamento prostituzione non minorile,d. Sfrutt. e favoreggiamento prostituzione non minorile,SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE
31.0 DELITTI INFORMATICI,31. DELITTI INFORMATICI,DELITTI INFORMATICI
32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI,32. CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI,CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI
33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE,33. VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE,VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE
34.0 ALTRI DELITTI,34. ALTRI DELITTI,ALTRI DELITTI
