CSV,XLS,categoria
01.0 ATTENTATI,1. ATTENTATI,ATTENTATI
02.0 STRAGE,2. STRAGE,STRAGE
03.0 OMICIDI VOLONTARI CONSUMATI,3. OMICIDI VOLONTARI CONSUMATI,OMICIDI VOLONTARI CONSUMATI
03.a Omicidi a scopo di furto o rapina,a. Omicidi a scopo di furto o rapina,OMICIDI VOLONTARI CONSUMATI
03.b Omicidio di tipo mafioso,b. Omicidio di tipo mafioso,OMICIDI VOLONTARI CONSUMATI
03.c Omicidio a scopo terroristico,c. Omicidio a scopo terroristico,OMICIDI VOLONTARI CONSUMATI
04.0 INFANTICIDI,4. INFANTICIDI,INFANTICIDI
05.0 TENTATI OMICIDI,5. TENTATI OMICIDI,TENTATI OMICIDI
05.a Tentato omicidio a scopo di furto o rapina,a. Tentato omicidio a scopo di furto o rapina,TENTATI OMICIDI
05.b Tentato omicidio di tipo mafioso,b. Tentato omicidio di tipo mafioso,TENTATI OMICIDI
05.c Tentato omicidio a scopo terroristico,c. Tentato omicidio a scopo terroristico,TENTATI OMICIDI
06.0 OMICIDIO PRETERINTENZIONALE,6. OMICIDIO PRETERINTENZIONALE,OMICIDIO PRETERINTENZIONALE
07.0 OMICIDI COLPOSI,7. OMICIDI COLPOSI,OMICIDI COLPOSI
07.a Omicidio da incidente stradale,a. Omicidio da incidente stradale,OMICIDI COLPOSI
07.b Omicidio da incidente sul lavoro,b. Omicidio da incidente sul lavoro,OMICIDI COLPOSI
08.0 LESIONI DOLOSE,8. LESIONI DOLOSE,LESIONI DOLOSE
09.0 PERCOSSE,9. PERCOSSE,PERCOSSE
10.0 MINACCE,10. MINACCE,MINACCE
11.0 INGIURIE,11. INGIURIE,INGIURIE
12.0 VIOLENZE SESSUALI,12. VIOLENZE SESSUALI,VIOLENZE SESSUALI
12.a Violenza sessuale su maggiori di anni 14,a. Violenza sessuale su maggiori di anni 14,VIOLENZE SESSUALI
12.b Violenza sessuale in danno di minori di anni 14,b. Violenza sessuale in danno di minori di anni 14,VIOLENZE SESSUALI
12.c Violenza sessuale di gruppo su maggiori di anni 14,c. Violenza sessuale di gruppo su maggiori di anni 14,VIOLENZE SESSUALI
12.d Violenza sessuale di gruppo in danno di minori di anni 14,d. Violenza sessuale di gruppo in danno di minori di anni 14,VIOLENZE SESSUALI
13.0 ATTI SESSUALI CON MINORENNE,13. ATTI SESSUALI CON MINORENNE,ATTI SESSUALI CON MINORENNE
14.0 CORRUZIONE DI MINORENNE,14. CORRUZIONE DI MINORENNE,CORRUZIONE DI MINORENNE
15.0 FURTI,15. FURTI,FURTI
15.a Furto con strappo,a. Furto con strappo,FURTI
15.b Furto con destrezza,b. Furto con destrezza,FURTI
